;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
299;Município;Regiao Autonoma da Madeira;Funchal;12662;71078;20150;12,2;68,4;19,4;10;28;52;35;12;12;325;13;1171,5;0,0;115,7;27,8;48;32,6496497;-16,9086783;Funchal, Madeira, Portugal;972,3241387657314;1197,3712006834903;0,5;16,5;0,5;16,5;20,0;35;35
304;Município;Regiao Autonoma da Madeira;Santa Cruz;6922;33094;5449;15,2;72,8;12,0;0;7;13;9;3;3;11;0;1116,1;0,0;71,4;15,2;9;32,69833475;-16,801762086363112;Santa Cruz, Madeira, Portugal;961,4728714069828;1187,1451460075446;1,1;68,9;2,7;283,9;16,0;26;33
298;Município;Regiao Autonoma da Madeira;Camara de Lobos;5131;24227;4299;15,2;72,0;12,8;0;8;15;10;3;3;8;0;999,6;0,0;59,9;28,2;6;32,6483323;-16,9763096;Câmara de Lobos, Madeira, Portugal;976,8529800883324;1201,198990944648;0,5;21,0;0,5;21,0;15,0;24;30
297;Município;Regiao Autonoma da Madeira;Calheta [R.A.M.];1248;7197;2406;11,5;66,3;22,2;0;4;7;6;1;1;3;0;1154,4;0,0;64,8;15,2;7;;;;;;0,9;47,2;0,9;47,2;15,0;20;27
300;Município;Regiao Autonoma da Madeira;Machico;2231;14138;3557;11,2;71,0;17,9;0;5;7;6;3;3;16;0;1063,9;0,0;80,1;21,8;6;32,722875;-16,7659069;Machico, Madeira, Portugal;957,1805101248764;1182,9779445436566;0,8;40,3;0,8;40,3;22,0;21;26
303;Município;Regiao Autonoma da Madeira;Ribeira Brava;1589;8652;2156;12,8;69,8;17,4;0;4;6;6;2;2;13;0;920,1;0,0;69,0;28,8;5;32,670092100000005;-17,065039499999997;Ribeira Brava, Madeira, Portugal;980,96795580159;1204,145299226088;0,7;31,0;0,7;31,0;15,0;19;24
301;Município;Regiao Autonoma da Madeira;Ponta do Sol;1039;6157;1378;12,1;71,8;16,1;0;2;7;6;1;1;67;1;881,1;0,0;58,0;13,4;2;32,681067;-17,104073;Ponta do Sol, Madeira, Portugal;982,6841324534896;1205,3308795115524;0,7;35,6;0,7;35,6;15,0;19;22
307;Município;Regiao Autonoma da Madeira;Porto Santo;654;3827;719;12,6;73,6;13,8;0;1;2;2;1;1;0;0;1175,5;0,0;96,4;30,6;4;33,06578005;-16,336237098824252;Porto Santo, Madeira, Portugal;901,8993319362172;1128,7084807099172;;;;;20,0;19;21
306;Município;Regiao Autonoma da Madeira;Sao Vicente;494;3331;1304;9,6;64,9;25,4;0;3;3;2;1;1;2;0;866,1;0,0;62,7;17,2;2;32,8022756;-17,0472397;São Vicente, Madeira, Portugal;969,4199692262624;1191,3546391191292;0,9;45,6;0,9;45,6;21,0;14;17
302;Município;Regiao Autonoma da Madeira;Porto Moniz;243;1511;574;10,4;64,9;24,7;0;1;1;1;1;1;0;0;826,7;0,0;59,8;26,2;2;32,8669649;-17,166632800000002;Porto Moniz, Madeira, Portugal;972,3879424667416;1192,31760857122;1,2;61,0;1,2;61,0;15,0;14;16
305;Município;Regiao Autonoma da Madeira;Santana;644;4356;1680;9,6;65,2;25,2;0;3;4;4;1;1;0;0;883,2;0,0;59,6;12,4;3;32,804907;-16,881301500000003;Santana, Madeira, Portugal;958,22694598589;1181,914738416412;1,0;56,0;1,0;56,0;15,0;14;16
