01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
1961,Portugal,,Total,,,, hospitais,559
1965,Portugal,,Total,,,, hospitais,630
1970,Portugal,,Total,,,, hospitais,634
1975,Portugal,,Total,,,, hospitais,548
1980,Portugal,,Total,,,, hospitais,493
1985,Portugal,,Total,,,Quebra de série, hospitais,232
1990,Portugal,,Total,,,, hospitais,240
1991,Portugal,,Total,,,, hospitais,237
1992,Portugal,,Total,,,, hospitais,215
1993,Portugal,,Total,,,, hospitais,207
1994,Portugal,,Total,,,, hospitais,202
1995,Portugal,,Total,,,, hospitais,200
1996,Portugal,,Total,,,, hospitais,211
1997,Portugal,,Total,,,, hospitais,215
1998,Portugal,,Total,,,, hospitais,215
1999,Portugal,,Total,,,, hospitais,218
2000,Portugal,,Total,,,, hospitais,219
2001,Portugal,,Total,,,, hospitais,217
2002,Portugal,,Total,,,, hospitais,213
2003,Portugal,,Total,,,, hospitais,204
2004,Portugal,,Total,,,, hospitais,209
2005,Portugal,,Total,,,, hospitais,204
2006,Portugal,,Total,,,, hospitais,200
2007,Portugal,,Total,,,, hospitais,198
2008,Portugal,,Total,,,, hospitais,189
2009,Portugal,,Total,,,, hospitais,186
2010,Portugal,,Total,,,Quebra de série, hospitais,229
2011,Portugal,,Total,,,, hospitais,226
2012,Portugal,,Total,,,, hospitais,229
2013,Portugal,,Parceria público-privada,,,, hospitais,4
2013,Portugal,,Privado,,,, hospitais,107
2013,Portugal,,Público,,,, hospitais,115
2013,Portugal,,Total,,,, hospitais,226
2014,Portugal,,Parceria público-privada,,,, hospitais,4
2014,Portugal,,Privado,,,, hospitais,107
2014,Portugal,,Público,,,, hospitais,114
2014,Portugal,,Total,,,, hospitais,225
2015,Portugal,,Parceria público-privada,,,, hospitais,4
2015,Portugal,,Privado,,,, hospitais,111
2015,Portugal,,Público,,,, hospitais,110
2015,Portugal,,Total,,,, hospitais,225
2016,Portugal,,Parceria público-privada,,,, hospitais,4
2016,Portugal,,Privado,,,, hospitais,114
2016,Portugal,,Público,,,, hospitais,107
2016,Portugal,,Total,,,, hospitais,225
2017,Portugal,,Parceria público-privada,,,, hospitais,4
2017,Portugal,,Privado,,,, hospitais,114
2017,Portugal,,Público,,,, hospitais,107
2017,Portugal,,Total,,,, hospitais,225
2018,Portugal,,Parceria público-privada,,,, hospitais,4
2018,Portugal,,Privado,,,, hospitais,119
2018,Portugal,,Público,,,, hospitais,107
2018,Portugal,,Total,,,, hospitais,230
2019,Portugal,,Parceria público-privada,,,, hospitais,3
2019,Portugal,,Privado,,,, hospitais,127
2019,Portugal,,Público,,,, hospitais,110
2019,Portugal,,Total,,,, hospitais,240
2020,Portugal,,Parceria público-privada,,,, hospitais,3
2020,Portugal,,Privado,,,, hospitais,128
2020,Portugal,,Público,,,, hospitais,110
2020,Portugal,,Total,,,, hospitais,241
2021,Portugal,,Parceria público-privada,,,, hospitais,2
2021,Portugal,,Privado,,,, hospitais,128
2021,Portugal,,Público,,,, hospitais,110
2021,Portugal,,Total,,,, hospitais,240
2022,Portugal,,Parceria público-privada,,,Pro, hospitais,1
2022,Portugal,,Privado,,,Pro, hospitais,131
2022,Portugal,,Público,,,Pro, hospitais,111
2022,Portugal,,Total,,,Pro, hospitais,243
2023,Portugal,,Parceria público-privada,,,Pro, hospitais,1
2023,Portugal,,Privado,,,Pro, hospitais,130
2023,Portugal,,Público,,,Pro, hospitais,111
2023,Portugal,,Total,,,Pro, hospitais,242
2013,Abrantes,Município,Parceria público-privada,,,, hospitais,0
2013,Abrantes,Município,Privado,,,, hospitais,0
2013,Abrantes,Município,Público,,,, hospitais,1
2013,Abrantes,Município,Total,,,, hospitais,1
2013,Águeda,Município,Parceria público-privada,,,, hospitais,0
2013,Águeda,Município,Privado,,,, hospitais,0
2013,Águeda,Município,Público,,,, hospitais,1
2013,Águeda,Município,Total,,,, hospitais,1
2013,Aguiar da Beira,Município,Parceria público-privada,,,, hospitais,0
2013,Aguiar da Beira,Município,Privado,,,, hospitais,0
2013,Aguiar da Beira,Município,Público,,,, hospitais,0
2013,Aguiar da Beira,Município,Total,,,, hospitais,0
2013,Alandroal,Município,Parceria público-privada,,,, hospitais,0
